SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2388655,414811,Consumer loans,14152.545,153387.0,138046.5,15340.5,153387.0,THURSDAY,9,Y,1,0.1089218714161505,0.6956675733877368,0.5687103594080338,XAP,Approved,-690,Cash through the bank,XAP,Family,New,Construction Materials,POS,XNA,Stone,30,Construction,12.0,middle,POS industry with interest,365243.0,-659.0,-329.0,-329.0,-323.0,0.0
1184010,252161,Consumer loans,3136.275,29781.0,29781.0,0.0,29781.0,MONDAY,12,Y,1,0.0,0.5232630624504138,0.8673361522198731,XAP,Approved,-11,Cash through the bank,XAP,Unaccompanied,Repeater,Homewares,POS,XNA,Stone,25,Construction,12.0,middle,POS industry with interest,365243.0,365243.0,349.0,365243.0,365243.0,0.0
2144692,423348,Consumer loans,2640.195,26145.0,26014.5,2614.5,26145.0,THURSDAY,14,Y,1,0.0994595753193678,0.6541000793380937,0.6379492600422833,XAP,Approved,-687,Cash through the bank,XAP,Other_B,New,Mobile,POS,XNA,Country-wide,27,Connectivity,12.0,middle,POS mobile with interest,365243.0,-656.0,-326.0,-566.0,-557.0,0.0
2697394,178347,Consumer loans,10324.665,101002.5,101002.5,0.0,101002.5,MONDAY,14,Y,1,0.0,0.5232488949336961,0.8673361522198731,XAP,Approved,-181,Cash through the bank,XAP,Unaccompanied,Repeater,Clothing and Accessories,POS,XNA,Stone,120,Clothing,12.0,middle,POS industry with interest,365243.0,-151.0,179.0,-61.0,-56.0,0.0
2403906,268507,Consumer loans,13452.66,145800.0,131220.0,14580.0,145800.0,FRIDAY,9,Y,1,0.1089090909090909,0.6955258982205601,0.5687103594080338,XAP,Approved,-875,Cash through the bank,XAP,Unaccompanied,New,Construction Materials,POS,XNA,Stone,16,Construction,12.0,middle,POS industry with interest,365243.0,-844.0,-514.0,-724.0,-717.0,0.0
2674338,387311,Consumer loans,8024.085,79501.5,79501.5,0.0,79501.5,MONDAY,20,Y,1,0.0,0.6360223280063472,0.8673361522198731,XAP,Approved,-246,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Regional / Local,100,Consumer electronics,12.0,middle,POS household with interest,365243.0,-216.0,114.0,-156.0,-149.0,0.0
1176505,267342,Consumer loans,14528.07,157455.0,141709.5,15745.5,157455.0,SATURDAY,20,Y,1,0.1089090909090909,0.1621613963504477,0.6448202959830867,XAP,Approved,-500,Cash through the bank,XAP,Unaccompanied,New,Computers,POS,XNA,Country-wide,70,Connectivity,12.0,middle,POS mobile with interest,365243.0,-466.0,-136.0,-316.0,-310.0,0.0
1895117,367624,Consumer loans,13730.445,151155.0,136039.5,15115.5,151155.0,SUNDAY,21,Y,1,0.1089090909090909,0.6360223280063472,0.852536997885835,XAP,Approved,-435,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Stone,20,Consumer electronics,12.0,middle,POS household with interest,365243.0,-405.0,-75.0,-375.0,-372.0,0.0
1468627,394419,Consumer loans,7650.405,82917.0,74623.5,8293.5,82917.0,THURSDAY,14,Y,1,0.1089327333905647,0.1417743397937209,0.5687103594080338,XAP,Approved,-824,XNA,XAP,Unaccompanied,New,Construction Materials,POS,XNA,Stone,90,Construction,12.0,middle,POS industry with interest,365243.0,-789.0,-459.0,-639.0,-632.0,0.0
1721158,281068,Consumer loans,5503.77,67108.5,53685.0,13423.5,67108.5,WEDNESDAY,16,Y,1,0.2178473936711714,0.7009378896067099,0.6374207188160677,XAP,Approved,-484,Cash through the bank,XAP,Other_B,New,Construction Materials,POS,XNA,Stone,120,Construction,12.0,middle,POS industry with interest,365243.0,-454.0,-124.0,-304.0,-298.0,0.0
